symbol,description,value,unit,unc,unc_type,conditions,source_bibkey,source_locator,status,validity_range,single_source,needs_verification,notes,distribution,dist_lo,dist_hi,recommendation,phase,target_molecule
lambda_mu_decay,Muon decay rate 1/tau_mu,4.552e5,s^-1,1e2,stat,vacuum; tau_mu=2.1969811 us,PDG2024,tau_mu,established,all conditions,false,false,Settled = 1/2.197 us; the decay clock the cycle races,,,,,any,n/a
E_fusion,d+t fusion energy release,17.6,MeV,0.0,exact,d+t -> alpha(3.5 MeV)+n(14.1 MeV),Standard,-,established,all conditions,false,false,"Per fusion; alpha kinetic 3.5, neutron 14.1",,,,,any,DT
lambda_f_dtmu,Intramolecular fusion rate in dtmu,1.1e12,s^-1,2e11,theory,dtmu J=v=0 ground state,Bogdanova1982,-,established,all conditions,false,true,Fusion >> formation; cycle is formation/sticking-limited,,,,,any,DT
omega_s0,Initial alpha-mu sticking probability,0.857,percent,0.02,theory-spread,dtmu J=v=0; four-body D-wave alpha-n + tensor,Kamimura2023,Eq.30,contested,intrinsic (pre-reactivation),false,false,Modern value; ~7% below legacy 0.91-0.93%; explains 2001 high-density obs,,,,recommended,intrinsic,n/a
omega_s0_legacy,Initial sticking (legacy literature value),0.91,percent,0.02,theory-spread,dtmu J=v=0,Markushin1988,-,contested,intrinsic,false,true,Older standard 0.91-0.93%; superseded by Kamimura2023 but still widely cited,,,,superseded,intrinsic,n/a
R_col,Collisional reactivation (stripping) fraction,0.35,fraction,0.05,model,phi~1.25; liquid-scale slowing-down,KouChen2026,Eq.33,contested,liquid; phi<=1.45,false,false,1-R_col=0.65; historically 0.25-0.35; expected to rise with density (DAC question),,,,,liquid,DT
R_X,External-field-assisted reactivation fraction (second successive factor),0.0,fraction,0.0,model,external-field-assisted stripping of the bound (alpha-mu)+; R_X = f_X*P_X*eta_X,KouChen2026,external-field decomposition omega_s_eff = omega_s0 (1-R_col)(1-R_X),contested,external-field scenario knob; 0.0 = field-off baseline,true,true,"SECOND SUCCESSIVE factor after R_col, never an additive term: survival probabilities multiply, so total R = 1-(1-R_col)(1-R_X). Ships at 0.0 (field-off), which reduces the model to the collision-only baseline EXACTLY and leaves every previously published number unchanged. A required TOTAL R must not be compared against R_col alone.",,,,,any,DT
lambda_dtmu_peak,Resonant dtmu formation rate at resonance peak,7.1e9,s^-1,1.8e9,exp,E_cm=0.423+-0.036 eV; tmu F=1; ortho-D2; atomic beam,Fujiwara2000,-,established,epithermal/beam,false,false,Vesman resonance peak (Fujiwara 2000; value as cited by Yamashita-Kino 2022); an alt 8.7e9 is also reported,,,,,gas,D2
eta_dtmu,Epithermal enhancement factor on lambda_dtmu,1.0,dimensionless,-,model,applied to Faifman theory rate; Yamashita-Kino fit eta=5,YamashitaKino2022,EVM,contested,gas/epithermal,false,true,"eta=1 (bare theory) to 5 (fit): the eta=1-vs-5 debate; upgrade path = Phase-3 condensed-matter S(q,omega)",asym_interval,1.0,5.0,,gas,D2
lambda_dtmu_lowT,"Resonant dtmu formation rate, low-T epithermal point",2e10,s^-1,0.0,theory,E=0.2 eV; T=30 K,Faifman1989,-,contested,epithermal,true,true,"Single quoted value; full lambda_dtmu(T,phi,F) grid to digitize in Phase 2",,,,,gas,D2
lambda_dtmu_900K,"Resonant dtmu formation rate, Maxwellian-averaged",2.3e9,s^-1,0.0,theory,Maxwellian average; T=900 K,Faifman1989,-,contested,thermal,false,true,Maxwellian-averaged high-T value,,,,,gas,D2
lambda_dt_transfer,Isotopic muon transfer rate dmu -> tmu,2.8e8,s^-1,0.4e8,exp,x phi x c_t; liquid-normalized; the coefficient of the printed 20-500 K temperature factor,Jones1986,p.589,contested,liquid-normalized,true,false,"Jones et al. (1986) print lambda_dt ~ [1 + (6+-1)e-4 T](280+-40)e6 s^-1 for the temperature range 20-500 K (p.589) and write the transfer rate as phi*lambda_dt*C_t, with phi relative to liquid-hydrogen density (p.588): the x-phi-x-c_t convention of this ledger. The value is the printed coefficient; the temperature factor is not applied (openmucf/cycle.py reads the value alone). Footnote 12, attached to the sentence that introduces the paper's global fit, reads: quoted errors reflect statistical uncertainty, and a further 13% systematic uncertainty arises mainly from the uncertainty in neutron detection efficiency; unc is the printed +-40e6 alone. Moves the muon onto tritium.",,,,,liquid,DT
